,지역코드,법정동,년,월,일,아파트,건축년도,층,전용면적,거래금액
3,11140, 인현동2가,2016,2,21~29,신성상가,1968,10,80.33,"    28,800"
4,11140, 필동1가,2016,2,11~20,하니맨션,1972,14,41.98,"    11,000"
5,11140, 신당동,2016,2,1~10,노블레스2,2002,1,84.78,"    36,000"
6,11140, 신당동,2016,2,1~10,청구e편한세상,2011,7,59.88,"    63,000"
7,11140, 신당동,2016,2,1~10,현대,1993,3,121.14,"    48,800"
8,11140, 신당동,2016,2,1~10,현대,1993,7,121.14,"    51,000"
9,11140, 신당동,2016,2,1~10,남산타운,2002,18,114.88,"    60,000"
0,11140, 회현동1가,2016,3,1~10,남산 롯데캐슬 아이리스,2011,19,187.44,"   151,000"
1,11140, 회현동1가,2016,3,21~31,남산 롯데캐슬 아이리스,2011,26,176.42,"   160,000"
2,11140, 회현동2가,2016,3,1~10,쌍용남산플래티넘,2010,15,158.97,"   122,000"
3,11140, 회현동2가,2016,3,11~20,쌍용남산플래티넘,2010,18,139.8,"   108,500"
4,11140, 충무로4가,2016,3,1~10,진양상가,1970,11,107.9,"    40,000"
5,11140, 충무로4가,2016,3,11~20,남산센트럴 자이,2009,27,160.505,"   121,000"
6,11140, 충무로4가,2016,3,21~31,남산센트럴 자이,2009,23,135.533,"   100,000"
7,11140, 충무로4가,2016,3,21~31,진양상가,1970,9,71.93,"    31,800"
8,11140, 인현동2가,2016,3,1~10,신성상가,1968,7,50.58,"    19,000"
9,11140, 인현동2가,2016,3,1~10,신성상가,1968,7,50.58,"    19,000"
0,11140, 남대문로5가,2016,4,11~20,남산트라팰리스,2010,8,126.78,"    93,000"
1,11140, 회현동1가,2016,4,1~10,삼풍,1975,2,51.32,"    19,750"
2,11140, 회현동1가,2016,4,1~10,남산 SK LEADERS VIEW,2010,10,115.04,"    90,000"
3,11140, 회현동1가,2016,4,11~20,삼풍,1975,5,72.06,"    29,000"
4,11140, 회현동1가,2016,4,11~20,남산 롯데캐슬 아이리스,2011,5,187.08,"   134,000"
5,11140, 회현동1가,2016,4,21~30,남산 롯데캐슬 아이리스,2011,15,113.46,"    97,000"
6,11140, 회현동2가,2016,4,11~20,쌍용남산플래티넘,2010,25,166.24,"   141,000"
7,11140, 충무로4가,2016,4,1~10,진양상가,1970,16,107.9,"    41,600"
8,11140, 충무로4가,2016,4,1~10,남산센트럴 자이,2009,11,82.413,"    57,600"
9,11140, 인현동2가,2016,4,1~10,신성상가,1968,10,48.56,"    19,900"
0,11140, 남대문로5가,2016,5,21~31,남산트라팰리스,2010,30,142.23,"   129,000"
1,11140, 회현동1가,2016,5,1~10,남산 롯데캐슬 아이리스,2011,22,44.99,"    54,500"
2,11140, 회현동1가,2016,5,1~10,남산 롯데캐슬 아이리스,2011,12,113.46,"    96,500"
3,11140, 회현동1가,2016,5,1~10,삼풍,1975,7,98.25,"    38,500"
4,11140, 충무로4가,2016,5,11~20,진양상가,1970,14,107.9,"    43,000"
5,11140, 충무로4가,2016,5,21~31,진양상가,1970,10,71.93,"    32,000"
6,11140, 인현동2가,2016,5,21~31,신성상가,1968,9,40.83,"    16,700"
7,11140, 묵정동,2016,5,21~31,묵정,1981,2,52.46,"    27,820"
8,11140, 예장동,2016,5,11~20,삼익,1999,2,59.58,"    24,500"
9,11140, 신당동,2016,5,1~10,남산타운,2002,7,114.88,"    75,800"
0,11140, 회현동1가,2016,6,1~10,남산 SK LEADERS VIEW,2010,24,122.7,"   102,000"
1,11140, 회현동1가,2016,6,1~10,이지-빌,2006,3,45.01,"    28,000"
2,11140, 회현동1가,2016,6,11~20,남산 롯데캐슬 아이리스,2011,28,133.98,"   130,000"
3,11140, 회현동1가,2016,6,11~20,남산 롯데캐슬 아이리스,2011,16,44.99,"    56,500"
4,11140, 회현동1가,2016,6,21~30,남산 SK LEADERS VIEW,2010,4,115.04,"    88,200"
5,11140, 회현동1가,2016,6,21~30,남산 SK LEADERS VIEW,2010,23,137.53,"   115,000"
6,11140, 충무로4가,2016,6,1~10,진양상가,1970,12,78.28,"    35,000"
7,11140, 장충동1가,2016,6,21~30,상지리츠빌장충동카일룸,2008,2,244.75,"   402,000"
8,11140, 신당동,2016,6,1~10,약수하이츠,1999,11,65.37,"    51,950"
9,11140, 신당동,2016,6,1~10,약수하이츠,1999,11,114.92,"    66,800"
0,11140, 남대문로5가,2016,7,11~20,남산트라팰리스,2010,31,116.11,"   106,000"
1,11140, 남대문로5가,2016,7,21~31,남산트라팰리스,2010,28,126.78,"   108,000"
2,11140, 회현동1가,2016,7,1~10,남산 SK LEADERS VIEW,2010,16,176.26,"   149,000"
3,11140, 회현동1가,2016,7,1~10,남산 롯데캐슬 아이리스,2011,19,33.81,"    43,000"
4,11140, 회현동1가,2016,7,11~20,남산 SK LEADERS VIEW,2010,13,137.53,"   104,700"
5,11140, 회현동1가,2016,7,11~20,삼풍,1975,9,48.84,"    19,800"
6,11140, 회현동1가,2016,7,11~20,남산 롯데캐슬 아이리스,2011,22,113.46,"    99,500"
7,11140, 회현동1가,2016,7,11~20,남산 SK LEADERS VIEW,2010,10,205.62,"   158,000"
8,11140, 충무로4가,2016,7,1~10,진양상가,1970,13,95.8,"    42,300"
9,11140, 충무로4가,2016,7,21~31,남산센트럴 자이,2009,30,89.307,"    66,800"
0,11140, 남대문로5가,2016,8,1~10,남산트라팰리스,2010,29,126.78,"   108,000"
1,11140, 남대문로5가,2016,8,21~31,남산트라팰리스,2010,23,116.11,"   105,000"
2,11140, 남대문로5가,2016,8,21~31,남산트라팰리스,2010,26,126.78,"   110,000"
3,11140, 회현동1가,2016,8,11~20,남산 롯데캐슬 아이리스,2011,16,113.46,"    96,000"
4,11140, 회현동1가,2016,8,11~20,이지-빌,2006,3,46.22,"    26,000"
5,11140, 회현동1가,2016,8,21~31,남산 SK LEADERS VIEW,2010,29,244.74,"   245,000"
6,11140, 회현동1가,2016,8,21~31,남산 SK LEADERS VIEW,2010,16,115.04,"    97,500"
7,11140, 충무로4가,2016,8,1~10,남산센트럴 자이,2009,29,114.84,"    79,500"
8,11140, 충무로4가,2016,8,11~20,남산센트럴 자이,2009,15,80.473,"    59,000"
9,11140, 묵정동,2016,8,11~20,충무,1982,9,67.77,"    36,500"
0,11140, 회현동1가,2016,9,1~10,남산 롯데캐슬 아이리스,2011,18,33.81,"    41,000"
1,11140, 회현동1가,2016,9,11~20,남산 SK LEADERS VIEW,2010,9,137.57,"   104,000"
2,11140, 회현동1가,2016,9,21~30,남산 SK LEADERS VIEW,2010,7,145.79,"   107,000"
3,11140, 회현동2가,2016,9,1~10,쌍용남산플래티넘,2010,10,158.97,"   123,500"
4,11140, 회현동2가,2016,9,1~10,쌍용남산플래티넘,2010,20,166.24,"   149,000"
5,11140, 회현동2가,2016,9,21~30,쌍용남산플래티넘,2010,15,166.24,"   159,000"
6,11140, 회현동2가,2016,9,21~30,쌍용남산플래티넘,2010,23,166.24,"   146,000"
7,11140, 회현동2가,2016,9,21~30,쌍용남산플래티넘,2010,10,139.8,"   117,500"
8,11140, 충무로4가,2016,9,1~10,남산센트럴 자이,2009,18,114.84,"    80,000"
9,11140, 충무로4가,2016,9,21~30,남산센트럴 자이,2009,32,114.84,"    55,330"
0,11140, 회현동1가,2016,10,1~10,남산 롯데캐슬 아이리스,2011,12,103.49,"    94,000"
1,11140, 회현동1가,2016,10,11~20,남산 SK LEADERS VIEW,2010,15,137.53,"   103,000"
